CALDT,TDBID_1,TDASK_1
20130226,101.453125,101.4765625
20130227,101.4453125,101.4609375
20130228,101.6875,101.7109375
20130301,101.671875,101.6875
20130304,101.671875,101.6796875
20130305,101.6640625,101.671875
20130306,101.65625,101.6875
20130307,101.65625,101.6875
20130308,101.6484375,101.671875
20130311,101.640625,101.6484375
20130312,101.625,101.6484375
20130313,101.6328125,101.65625
20130314,101.625,101.6328125
20130315,101.6171875,101.640625
20130318,101.6015625,101.6328125
20130319,101.6171875,101.6328125
20130320,101.59375,101.6171875
20130321,101.6015625,101.6171875
20130322,101.5859375,101.6171875
20130325,101.5859375,101.59375
20130326,101.5625,101.59375
20130327,101.578125,101.5859375
20130328,101.5546875,101.578125
20130401,101.546875,101.5703125
20130402,101.5625,101.5859375
20130403,101.5703125,101.59375
20130404,101.546875,101.5703125
20130405,101.546875,101.578125
20130408,101.546875,101.5703125
20130409,101.5234375,101.5546875
20130410,101.5234375,101.546875
20130411,101.5390625,101.5625
20130412,101.5234375,101.5546875
20130415,101.53125,101.5390625
20130416,101.515625,101.53125
20130417,101.515625,101.546875
20130418,101.5234375,101.53125
20130419,101.5078125,101.53125
20130422,101.5078125,101.515625
20130423,101.484375,101.515625
20130424,101.5,101.5078125
20130425,101.4921875,101.5078125
20130426,101.4609375,101.4921875
20130429,101.4765625,101.5078125
20130430,101.71875,101.734375
20130501,101.71875,101.7265625
20130502,101.71875,101.7265625
20130503,101.6875,101.71875
20130506,101.6953125,101.7109375
20130507,101.6953125,101.7109375
20130508,101.6953125,101.71875
20130509,101.6875,101.6953125
20130510,101.65625,101.6796875
20130513,101.6640625,101.6953125
20130514,101.65625,101.6640625
20130515,101.65625,101.6875
20130516,101.6328125,101.6640625
20130517,101.625,101.6484375
20130520,101.6171875,101.640625
20130521,101.6328125,101.640625
20130522,101.609375,101.6328125
20130523,101.6015625,101.6328125
20130524,101.6015625,101.609375
20130528,101.5703125,101.6015625
20130529,101.5703125,101.6015625
20130530,101.5859375,101.59375
20130531,102.046875,102.078125
20130603,102.0390625,102.0625
20130604,102.0546875,102.0625
20130605,102.03125,102.0625
20130606,102.0390625,102.0546875
20130607,102.0234375,102.0390625
20130610,102.015625,102.0234375
20130611,102.0078125,102.0234375
20130612,102.0078125,102.015625
20130613,102.0078125,102.0234375
20130614,101.9921875,102.0078125
20130617,101.9921875,102
20130618,101.984375,102.015625
20130619,101.96875,101.984375
20130620,101.9609375,101.9765625
20130621,101.921875,101.953125
20130624,101.90625,101.9375
20130625,101.8984375,101.9140625
20130626,101.8984375,101.90625
20130627,101.8984375,101.9140625
20130628,102.40625,102.4375
20130701,102.421875,102.4296875
20130702,102.421875,102.4375
20130703,102.40625,102.4296875
20130705,102.375,102.3984375
20130708,102.375,102.3984375
20130709,102.390625,102.3984375
20130710,102.3828125,102.3984375
20130711,102.375,102.390625
20130712,102.34375,102.3671875
20130715,102.3515625,102.3828125
20130716,102.3515625,102.3671875
20130717,102.359375,102.3671875
20130718,102.3515625,102.359375
20130719,102.328125,102.359375
20130722,102.3046875,102.328125
20130723,102.3125,102.34375
20130724,102.3046875,102.3125
20130725,102.296875,102.3125
20130726,102.265625,102.296875
20130729,102.28125,102.2890625
20130730,102.2734375,102.28125
20130731,102.4375,102.46875
20130801,102.4296875,102.4609375
20130802,102.4140625,102.4375
20130805,102.421875,102.4375
20130806,102.4140625,102.421875
20130807,102.40625,102.421875
20130808,102.3828125,102.4140625
20130809,102.3828125,102.390625
20130812,102.359375,102.390625
20130813,102.3515625,102.375
20130814,102.3671875,102.375
20130815,102.3515625,102.359375
20130816,102.3359375,102.34375
20130819,102.328125,102.3359375
20130820,102.3203125,102.3359375
20130821,102.296875,102.328125
20130822,102.2890625,102.3203125
20130823,102.2734375,102.3046875
20130826,102.2890625,102.296875
20130827,102.28125,102.2890625
20130828,102.28125,102.2890625
20130829,102.265625,102.2734375
20130830,102.1796875,102.203125
20130903,102.1796875,102.1875
20130904,102.1640625,102.1796875
20130905,102.125,102.15625
20130906,102.125,102.15625
20130909,102.13671875,102.16015625
20130910,102.140625,102.1484375
20130911,102.140625,102.1484375
20130912,102.1328125,102.1484375
20130913,102.125,102.1484375
20130916,102.125,102.15625
20130917,102.125,102.1328125
20130918,102.125,102.1484375
20130919,102.1171875,102.125
20130920,102.09375,102.109375
20130923,102.09375,102.1171875
20130924,102.09375,102.1015625
20130925,102.0859375,102.1171875
20130926,102.0859375,102.09375
20130927,102.0703125,102.09375
20130930,102.2421875,102.25
20131001,102.2109375,102.2421875
20131002,102.203125,102.234375
20131003,102.2109375,102.2265625
20131004,102.1875,102.2109375
20131007,102.15625,102.1796875
20131008,102.125,102.15625
20131009,102.125,102.140625
20131010,102.125,102.1328125
20131011,102.078125,102.109375
20131015,102.046875,102.078125
20131016,102.0859375,102.1171875
20131017,102.09375,102.109375
20131018,102.078125,102.1015625
20131021,102.0703125,102.09375
