CALDT,TDBID,TDASK
20130403,110.625,110.65625
20130404,110.78125,110.8125
20130405,110.7734375,110.8046875
20130408,110.71875,110.75
20130409,110.671875,110.703125
20130410,110.5390625,110.5703125
20130411,110.5546875,110.59375
20130412,110.75,110.78125
20130415,110.796875,110.84375
20130416,110.65625,110.6796875
20130417,110.6953125,110.7265625
20130418,110.65625,110.71875
20130419,110.609375,110.640625
20130422,110.6875,110.71875
20130423,110.609375,110.671875
20130424,110.65625,110.6875
20130425,110.6640625,110.6796875
20130426,110.78125,110.8125
20130429,110.8046875,110.8359375
20130430,109.6328125,109.6484375
20130501,109.765625,109.796875
20130502,109.7890625,109.8203125
20130503,109.3828125,109.4140625
20130506,109.3203125,109.3515625
20130507,109.2421875,109.2734375
20130508,109.2734375,109.28125
20130509,109.2265625,109.2578125
20130510,108.8828125,108.890625
20130513,108.8203125,108.8359375
20130514,108.65625,108.6640625
20130515,108.8125,108.84375
20130516,108.9921875,109.0078125
20130517,108.796875,108.828125
20130520,108.7109375,108.7421875
20130521,108.796875,108.828125
20130522,108.3984375,108.4296875
20130523,108.4140625,108.453125
20130524,108.4296875,108.4609375
20130528,107.75,107.78125
20130529,107.90625,107.9375
20130530,107.921875,107.953125
20130531,106.640625,106.671875
20130603,106.5546875,106.5859375
20130604,106.3984375,106.4296875
20130605,106.6015625,106.6328125
20130606,106.6328125,106.6640625
20130607,106.1953125,106.2265625
20130610,106.0390625,106.0703125
20130611,106.0546875,106.0859375
20130612,105.9296875,105.9375
20130613,106.359375,106.390625
20130614,106.46875,106.5
20130617,106.34375,106.375
20130618,106.3359375,106.3671875
20130619,105.40625,105.4375
20130620,105.1484375,105.1796875
20130621,104.53125,104.546875
20130624,104.4375,104.5
20130625,104.203125,104.234375
20130626,104.515625,104.546875
20130627,104.8515625,104.8828125
20130628,104.71875,104.78125
20130701,104.8125,104.84375
20130702,104.828125,104.859375
20130703,104.6171875,104.640625
20130705,103.6328125,103.6640625
20130708,104.1875,104.21875
20130709,104.2265625,104.2578125
20130710,104.3984375,104.421875
20130711,104.734375,104.765625
20130712,104.5703125,104.6015625
20130715,104.7890625,104.8203125
20130716,104.796875,104.828125
20130717,105.1171875,105.1484375
20130718,105.0078125,105.0390625
20130719,105.1484375,105.1796875
20130722,105.140625,105.1875
20130723,105.1015625,105.1328125
20130724,104.7421875,104.7734375
20130725,104.8515625,104.9140625
20130726,104.859375,104.890625
20130729,104.796875,104.828125
20130730,104.78125,104.8125
20130731,104.1640625,104.1953125
20130801,103.6328125,103.6640625
20130802,104.328125,104.359375
20130805,104.1953125,104.2109375
20130806,104.15625,104.1875
20130807,104.25,104.28125
20130808,104.3125,104.34375
20130809,104.3046875,104.3671875
20130812,104.1484375,104.2109375
20130813,103.703125,103.734375
20130814,103.71875,103.75
20130815,103.515625,103.546875
20130816,103.3046875,103.3203125
20130819,103.0625,103.09375
20130820,103.3671875,103.3984375
20130821,102.9140625,102.9453125
20130822,102.7734375,102.8046875
20130823,102.9921875,103.0234375
20130826,103.1484375,103.1796875
20130827,103.46875,103.5
20130828,103.1875,103.234375
20130829,103.1875,103.234375
20130830,111.5078125,111.5546875
20130903,111.2890625,111.3828125
20130904,110.984375,111.03125
20130905,110.453125,110.5
20130906,110.890625,110.9375
20130909,111.09375,111.140625
20130910,110.8515625,110.8984375
20130911,111.1328125,111.1796875
20130912,111.09375,111.140625
20130913,111.1640625,111.2109375
20130916,111.546875,111.5625
20130917,111.609375,111.6171875
20130918,112.5078125,112.5546875
20130919,112.1875,112.203125
20130920,112.203125,112.2734375
20130923,112.3828125,112.390625
20130924,112.4765625,112.484375
20130925,112.6328125,112.6484375
20130926,112.5546875,112.5703125
20130927,112.71875,112.765625
20130930,99.953125,100
20131001,99.703125,99.75
20131002,99.9453125,99.9921875
20131003,100.0625,100.109375
