Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,TDBID_5,TDASK_5,TDBID_30,TDASK_30,TDBID_10,TDASK_10,Federal Funds (Effective),TCMNOM_M6,TCMNOM_Y10,TCMNOM_Y1,SPX Close,SPX Volume,CBOE S&P500 Volatility Index - Close,CBOE S&P100 Volatility Index - Close,CBOE NASDAQ Volatility Index - Close,CBOE DJIA Volatility Index - Close,TDBID_1,TDASK_1,delta_raw,delta_flg
313.504760742,315.980010986,299.105072021,302.0,3.25352866809,994.095063914,306.815894307,98.296875,98.3125,101.5703125,101.6328125,146.65625,146.7109375,0.11,0.07,2.32,0.14,2051.8,485794304.0,13.86,12.66,15.38,13.22,101.0390625,101.0703125,11.504760742,1
382.031005859,388.688995361,367.429992676,371.161987305,6.09390391787,2287.82631846,377.647230794,98.296875,98.3125,101.5703125,101.6328125,146.65625,146.7109375,0.11,0.07,2.32,0.14,2051.8,485794304.0,13.86,12.66,15.38,13.22,101.0390625,101.0703125,10.869018554,1
387.690002441,394.640014648,371.0,374.75,11.8816776831,4516.45924999,382.320140394,98.296875,98.3125,101.5703125,101.6328125,146.65625,146.7109375,0.11,0.07,2.32,0.14,2051.8,485794304.0,13.86,12.66,15.38,13.22,101.0390625,101.0703125,12.940002441,1
390.0,395.0,370.391326904,375.02444458,0.440925431841,171.409402172,386.503087362,98.296875,98.3125,101.5703125,101.6328125,146.65625,146.7109375,0.11,0.07,2.32,0.14,2051.8,485794304.0,13.86,12.66,15.38,13.22,101.0390625,101.0703125,14.97555542,1
2365.85009766,2413.48999023,2280.02001953,2305.40991211,156.825911922,367184.946297,2340.03074968,98.296875,98.3125,101.5703125,101.6328125,146.65625,146.7109375,0.11,0.07,2.32,0.14,2051.8,485794304.0,13.86,12.66,15.38,13.22,101.0390625,101.0703125,60.44018555,1
45910.0,48210.0,44520.0,47240.0,0.749621938576,34080.0633418,46500.0254123,98.140625,98.15625,100.7890625,100.8515625,146.1640625,146.21875,0.1,0.07,2.36,0.15,2048.72,478726752.0,13.96,12.46,15.71,13.49,101.03125,101.046875,-1330.0,0
301.855010986,310.879974365,300.0,304.740325928,2.52794798208,769.749722194,304.89866713,98.140625,98.15625,100.7890625,100.8515625,146.1640625,146.21875,0.1,0.07,2.36,0.15,2048.72,478726752.0,13.96,12.46,15.71,13.49,101.03125,101.046875,-2.885314942,0
369.989013672,387.299987793,368.513000488,376.949005127,4.53850610998,1710.80248772,375.585434307,98.140625,98.15625,100.7890625,100.8515625,146.1640625,146.21875,0.1,0.07,2.36,0.15,2048.72,478726752.0,13.96,12.46,15.71,13.49,101.03125,101.046875,-6.959991455,0
374.739990234,386.390014648,371.700012207,379.049987793,7.10810138229,2697.83639246,379.348818758,98.140625,98.15625,100.7890625,100.8515625,146.1640625,146.21875,0.1,0.07,2.36,0.15,2048.72,478726752.0,13.96,12.46,15.71,13.49,101.03125,101.046875,-4.309997559,0
392.957519531,392.957519531,375.335754395,389.99798584,0.054447693312,21.1334876453,389.119716869,98.140625,98.15625,100.7890625,100.8515625,146.1640625,146.21875,0.1,0.07,2.36,0.15,2048.72,478726752.0,13.96,12.46,15.71,13.49,101.03125,101.046875,2.959533691,1
